ward_id,ward_name,month,load_index,peak_load_mw,outage_frequency,power_quality_index,transformer_utilization_pct,renewable_share_pct,stress_level
3,Jayanagar,2023-03,91,131.4,4.01,40,90.3,39.6,High
3,Jayanagar,2023-04,100,138.2,4.58,40,95.8,11.8,High
3,Jayanagar,2023-05,49,77.1,2.33,76,48.2,51.3,Medium
3,Jayanagar,2023-06,80,119.9,4.02,40,82.3,25.2,High
3,Jayanagar,2023-07,51,77.9,2.55,56.5,55.2,22.2,Medium
3,Jayanagar,2023-08,67,104.9,4.39,48,74.9,29.6,Medium
3,Jayanagar,2023-09,61,93.5,2.74,42.9,63.2,16.3,Medium
3,Jayanagar,2023-10,74,105.6,3.76,44.6,72.7,43.7,High
3,Jayanagar,2023-11,75,109.8,4.2,40,78.2,17.7,High
3,Jayanagar,2023-12,44,74.5,2.4,65.6,37.4,27.2,Medium
3,Jayanagar,2024-01,30,60.4,0.28,83.9,30,30.9,Low
3,Jayanagar,2024-02,96,135.4,4.6,40,89.7,12.3,High
3,Jayanagar,2024-03,91,122.4,4.6,40,80.1,21.1,High
3,Jayanagar,2024-04,66,101.5,3.71,40,75.9,13.5,Medium
3,Jayanagar,2024-05,100,140.9,4.71,40,94.2,44.7,High
3,Jayanagar,2024-06,61,87.4,3.09,47.6,65.4,26,Medium
3,Jayanagar,2024-07,80,120.5,4,40,78.5,30,High
3,Jayanagar,2024-08,33,57.4,1.7,85.6,31.5,38.6,Low
3,Jayanagar,2024-09,68,98.6,3.73,40,65.7,14.4,Medium
3,Jayanagar,2024-10,74,111.2,3.9,41.4,75.8,33.1,High
3,Jayanagar,2024-11,38,65.8,1.47,84.9,41.2,38.5,Low
3,Jayanagar,2024-12,59,92.3,3.12,62.1,59.9,45.9,Medium
4,Whitefield,2022-01,67,100.5,3.69,41.2,74,21.3,Medium
4,Whitefield,2022-02,54,84.9,3.14,47.1,63.7,12.1,Medium
4,Whitefield,2022-03,57,92.4,2.96,57.3,59,30.5,Medium
4,Whitefield,2022-04,60,85.8,3.1,61.1,69.5,39.4,Medium
4,Whitefield,2022-05,59,94.5,2.99,45.6,67.6,18.2,Medium
4,Whitefield,2022-06,66,97.6,2.94,43.3,68.7,24.7,Medium
4,Whitefield,2022-07,72,103.7,3.51,40,60.1,24.3,High
4,Whitefield,2022-08,74,112.3,4.17,40,82,18.3,High
4,Whitefield,2022-09,50,76.9,3.27,52.5,56.5,16.4,Medium
4,Whitefield,2022-10,81,118.5,3.96,40,77.9,11,High
4,Whitefield,2022-11,71,101.8,4.17,40,72.6,14.8,High
4,Whitefield,2022-12,78,114.3,4.01,40,75.3,34.9,High
4,Whitefield,2023-01,58,89.5,2.3,55.6,52.3,34.4,Medium
4,Whitefield,2023-02,73,108,4.27,40,72.8,11.7,High
4,Whitefield,2023-03,100,141.2,4.61,40,103.4,43.6,High
4,Whitefield,2023-04,58,86.9,3.02,53.8,55.5,28.6,Medium
4,Whitefield,2023-05,74,104.1,3.72,40,69,23.2,High
4,Whitefield,2023-06,59,92.9,2.7,46.4,67.4,18.2,Medium
4,Whitefield,2023-07,45,73.8,2.01,75,39.7,41.2,Medium
4,Whitefield,2023-08,43,70.8,2.01,65.6,47.9,20.9,Medium
4,Whitefield,2023-09,66,97.6,3.69,40,65,20.4,Medium
4,Whitefield,2023-10,47,75.3,2.44,73.4,49.8,40.8,Medium
4,Whitefield,2023-11,53,80.6,1.82,55.6,50.1,26.5,Medium
4,Whitefield,2023-12,66,97.3,3.7,40,49.9,12.1,Medium
4,Whitefield,2024-01,58,89.7,2.73,43.8,54.9,13.5,Medium
4,Whitefield,2024-02,60,94,2.55,56.8,63,36,Medium
4,Whitefield,2024-03,72,110.7,3.49,49.8,74.7,39.7,High
4,Whitefield,2024-04,100,140.7,4.66,40,90.9,21.8,High
4,Whitefield,2024-05,100,140.5,5.03,40,99.1,9.8,High
4,Whitefield,2024-06,60,91.2,2.58,56.4,55.7,35.9,Medium
4,Whitefield,2024-07,52,84.4,2.63,55.1,55.8,18.9,Medium
4,Whitefield,2024-08,28,52.2,1.98,79.1,30,20.9,Low
4,Whitefield,2024-09,85,122,4.34,40,94.5,16.1,High
4,Whitefield,2024-10,36,66.2,2.42,71.5,37.1,22.7,Low
4,Whitefield,2024-11,78,112.1,3.62,40,83.7,12.8,High
4,Whitefield,2024-12,67,97.2,3.21,40.1,50,19.7,Medium
5,KR Puram,2022-01,65,96.6,3.23,53.2,63.9,34.6,Medium
5,KR Puram,2022-02,83,123.3,3.79,40,90.7,22.7,High
5,KR Puram,2022-03,91,131.2,4.46,40,83.7,48.3,High
5,KR Puram,2022-04,89,127.3,4.6,40,85.1,31.9,High
5,KR Puram,2022-05,79,118,4.2,42.1,75.1,43.2,High
5,KR Puram,2022-06,55,83.5,2.35,47.9,49.3,15.5,Medium
5,KR Puram,2022-07,63,96,2.36,40,61.5,8.5,Medium
5,KR Puram,2022-08,100,144.4,4.91,40,89,16.7,High
5,KR Puram,2022-09,47,73.8,2.2,58,44.7,10.1,Medium
5,KR Puram,2022-10,70,106.5,3.29,40,78.1,28.9,High
5,KR Puram,2022-11,38,60.8,2.08,82.7,33.3,44.6,Low
5,KR Puram,2022-12,71,103.1,3.2,40,65,27,High
5,KR Puram,2023-01,86,123.9,4.01,40,79.7,29,High
5,KR Puram,2023-02,72,105.3,4.11,44.4,60.6,37.5,High
5,KR Puram,2023-03,83,121,4.37,40,88.1,37.3,High
5,KR Puram,2023-04,88,127,4.27,40,94.7,18.2,High
5,KR Puram,2023-05,81,113.8,4.07,40,91.7,33,High
5,KR Puram,2023-06,66,106.8,3.79,52.9,61.1,42,Medium
5,KR Puram,2023-07,44,69.4,2.43,56.7,49.5,19.4,Medium
5,KR Puram,2023-08,76,115.8,3.37,40,72.3,25.1,High
5,KR Puram,2023-09,41,70.9,1.91,66.1,37.3,16.7,Medium
5,KR Puram,2023-10,54,85.5,1.75,52.4,57.2,14.3,Medium
5,KR Puram,2023-11,71,106.7,3.34,44.7,69.6,38.3,High
5,KR Puram,2023-12,66,99.8,3.44,40,64.6,17.6,Medium
5,KR Puram,2024-01,64,101.7,2.99,40.6,55.1,19.8,Medium
5,KR Puram,2024-02,77,109.5,3.71,45.9,68.4,48.9,High
5,KR Puram,2024-03,100,141.6,5.13,40,100.8,14.4,High
5,KR Puram,2024-04,81,117.4,4.36,40.1,82.2,42.9,High
5,KR Puram,2024-05,58,88.2,2.75,52.4,54.6,35.9,Medium
5,KR Puram,2024-06,66,97.5,3.65,53.6,72.6,42.1,Medium
5,KR Puram,2024-07,74,108.5,3.57,40,82.8,30.6,High
5,KR Puram,2024-08,73,105.3,4.09,44.5,70.7,40.2,High
5,KR Puram,2024-09,56,80.1,2.36,44,47.7,9.3,Medium
5,KR Puram,2024-10,49,78.1,2.58,68.9,41.8,41.3,Medium
5,KR Puram,2024-11,56,87.7,2.96,51.1,53.9,24.7,Medium
5,KR Puram,2024-12,70,105.5,3.39,40,64.6,16.8,High
6,BTM Layout,2022-01,61,89.7,3.39,63.3,71.8,52.1,Medium
6,BTM Layout,2022-02,85,121.2,4.6,40,93.3,10.7,High
6,BTM Layout,2022-03,79,114.6,4.02,40,72,27.2,High
6,BTM Layout,2022-04,84,124.6,3.89,40,80.8,31.5,High
6,BTM Layout,2022-05,84,123.7,3.66,40,75.2,41,High
6,BTM Layout,2022-06,72,100.5,3.59,40,79.7,19.1,High
6,BTM Layout,2022-07,49,78,2.44,54.9,41.8,14.8,Medium
6,BTM Layout,2022-08,50,78.7,2.51,52.1,57.6,11.2,Medium
6,BTM Layout,2022-09,81,113.9,4.3,41.5,83.7,49.3,High
6,BTM Layout,2022-10,62,94.2,2.51,47.6,61.1,26.3,Medium
6,BTM Layout,2022-11,60,94.8,2.51,44.6,47.6,19,Medium
6,BTM Layout,2022-12,39,71.7,1.8,80.3,39.3,38,Low
6,BTM Layout,2023-01,100,139.1,4.35,40,104.7,20.7,High
6,BTM Layout,2023-02,86,120.1,4.97,40,86.4,18.1,High
6,BTM Layout,2023-03,62,93.8,2.78,63,53.3,44.9,Medium
6,BTM Layout,2023-04,87,123.5,4.23,40,75.8,42.7,High
6,BTM Layout,2023-05,69,102.4,2.68,40,78.4,19.2,Medium
6,BTM Layout,2023-06,71,103.9,3.68,40,75.9,29.3,High
6,BTM Layout,2023-07,83,121.7,4.25,40,81.1,17.7,High
6,BTM Layout,2023-08,59,92.5,3.22,45.6,59.3,15.9,Medium
6,BTM Layout,2023-09,61,91.2,3.1,58.6,63.2,41.8,Medium
6,BTM Layout,2023-10,63,96.6,2.83,55.2,65.5,38.2,Medium
6,BTM Layout,2023-11,72,108.9,3.42,40,66.4,24.2,High
6,BTM Layout,2023-12,60,93.6,3.74,44.3,65.7,15.1,Medium
6,BTM Layout,2024-01,48,78.9,2.86,72.7,45.5,43.6,Medium
6,BTM Layout,2024-02,100,139.8,4.89,40,92.2,10.6,High
6,BTM Layout,2024-03,96,137.1,4.22,40,101.7,19.5,High
6,BTM Layout,2024-04,91,140.9,4.76,40,85.8,11.8,High
6,BTM Layout,2024-05,100,141.9,5.04,40,91.1,34.9,High
6,BTM Layout,2024-06,32,62.8,0.72,70.5,30.7,16.4,Low
6,BTM Layout,2024-07,89,128,4.66,40,92.5,38.1,High
6,BTM Layout,2024-08,71,108.8,3.28,40,59.5,19.4,High
6,BTM Layout,2024-09,60,86.2,2.35,58.6,63,43,Medium
6,BTM Layout,2024-10,83,116.6,4.31,40,90.1,25.6,High
6,BTM Layout,2024-11,51,83,2.21,61.5,47,28.2,Medium
6,BTM Layout,2024-12,66,96.9,3.02,40,65,12.4,Medium
7,Hebbal,2022-01,62,97.7,3.41,52.6,55.4,26.1,Medium
7,Hebbal,2022-02,68,106.4,3.21,45.2,66.3,28.1,Medium
7,Hebbal,2022-03,100,139.2,5.06,40,103.5,22.5,High
7,Hebbal,2022-04,100,137.7,4.44,40,105.8,15.7,High
7,Hebbal,2022-05,100,139,4.45,40,100.7,14.7,High
7,Hebbal,2022-06,80,116.3,3.92,40,72.1,18.9,High
7,Hebbal,2022-07,63,100.5,3.25,59.1,61.9,43.2,Medium
7,Hebbal,2022-08,80,113,3.47,42.5,71.2,46.7,High
7,Hebbal,2022-09,71,100.9,3.46,40,68.1,17.2,High
7,Hebbal,2022-10,60,85,2.95,55,65.6,36.5,Medium
7,Hebbal,2022-11,54,85.1,3.48,51.7,55.2,21.2,Medium
7,Hebbal,2022-12,64,96,4.43,45.3,57.1,28.9,Medium
7,Hebbal,2023-01,82,122.1,4.15,40,87.8,30.2,High
7,Hebbal,2023-02,50,77.2,2.54,72.9,51.7,42.3,Medium
7,Hebbal,2023-03,90,127.4,5.18,40,100.8,31,High
7,Hebbal,2023-04,92,129.1,4.86,40,93.7,38.5,High
7,Hebbal,2023-05,80,123,3.95,41.4,72.2,41.6,High
7,Hebbal,2023-06,54,87.8,2.74,49.6,50.5,17.5,Medium
7,Hebbal,2023-07,94,130.6,5.02,40,88.4,11.6,High
7,Hebbal,2023-08,81,106.5,4.35,40,71.8,32.8,High
7,Hebbal,2023-09,97,136.9,5.26,40,100.5,19,High
7,Hebbal,2023-10,53,88.7,2.99,65.2,56.6,37.9,Medium
7,Hebbal,2023-11,70,100.7,3.26,40,68.7,19.1,High
7,Hebbal,2023-12,86,123.8,3.7,40,87.1,7.7,High
7,Hebbal,2024-01,84,117.1,4.19,40,80.2,32,High
7,Hebbal,2024-02,47,74.8,3.15,59.4,50.7,22,Medium
7,Hebbal,2024-03,91,122.8,4.47,40,80.6,25.2,High
7,Hebbal,2024-04,90,132.2,4.31,40,86.6,14.9,High
7,Hebbal,2024-05,100,140.6,5.33,40,108.2,41.4,High
7,Hebbal,2024-06,70,104.1,3.48,48.9,62.6,41.5,High
7,Hebbal,2024-07,49,73.2,2.46,64.2,52,29,Medium
7,Hebbal,2024-08,92,135.2,4.28,40,102.7,29.5,High
7,Hebbal,2024-09,59,92.5,1.74,51.4,56.1,26.3,Medium
7,Hebbal,2024-10,84,123.3,3.47,40,88.3,7.5,High
7,Hebbal,2024-11,47,73.1,2.72,78,45,50.5,Medium
7,Hebbal,2024-12,52,86.7,2.35,56.9,60.8,19.5,Medium
8,Rajajinagar,2022-01,69,98.5,3.29,42.4,58.5,30.3,Medium
8,Rajajinagar,2022-02,64,94.1,3.56,40,56.7,12.6,Medium
8,Rajajinagar,2022-03,100,143.6,5.05,40,93.3,43.3,High
8,Rajajinagar,2022-04,86,129.8,4.69,40,80.7,31.1,High
8,Rajajinagar,2022-05,94,132,4.81,40,96.3,22.5,High
8,Rajajinagar,2022-06,53,83.7,2.91,50.6,62.8,21.2,Medium
8,Rajajinagar,2022-07,54,85,1.77,50.3,51.1,17.8,Medium
8,Rajajinagar,2022-08,54,81.9,2.94,58.5,58.2,36.1,Medium
8,Rajajinagar,2022-09,60,94.1,2.76,48.2,53.4,20.8,Medium
8,Rajajinagar,2022-10,92,133,4.96,40,102.7,44.8,High
8,Rajajinagar,2022-11,67,103.7,3.24,47.3,61.8,28.4,Medium
8,Rajajinagar,2022-12,72,105.5,3.71,44.8,71.9,40.9,High
8,Rajajinagar,2023-01,100,137.7,4.62,40,91.3,17.6,High
8,Rajajinagar,2023-02,22,45,1.11,99.8,30,45.3,Low
8,Rajajinagar,2023-03,100,141.9,5.01,40,100.3,36.5,High
8,Rajajinagar,2023-04,100,137.8,5.31,40,96.5,11.4,High
8,Rajajinagar,2023-05,100,141.6,5.7,40,98.5,8.1,High
8,Rajajinagar,2023-06,69,104.1,3.72,47.8,74,37.9,Medium
8,Rajajinagar,2023-07,57,88.9,2.56,63.4,61.9,41.8,Medium
8,Rajajinagar,2023-08,38,72.3,1.94,72,33.8,26.2,Low
8,Rajajinagar,2023-09,69,99.6,2.41,40,70.5,19.9,Medium
8,Rajajinagar,2023-10,94,136.3,4.28,40,99.6,32.7,High
8,Rajajinagar,2023-11,32,55.8,2.32,89.8,30,46,Low
8,Rajajinagar,2023-12,77,110.6,3.9,40,77.5,24.8,High
8,Rajajinagar,2024-01,51,82.8,1.98,59.7,50.5,27.4,Medium
8,Rajajinagar,2024-02,69,103.1,3.07,44.2,69.7,34.1,Medium
8,Rajajinagar,2024-03,94,133.9,4.44,40,88.6,12.6,High
8,Rajajinagar,2024-04,70,106.9,3.43,42.5,73,26.8,High
8,Rajajinagar,2024-05,100,141.4,5.2,40,103.4,13.6,High
8,Rajajinagar,2024-06,64,100.4,2.73,44.6,62.6,18.4,Medium
8,Rajajinagar,2024-07,100,140.9,4.29,40,102.6,17.2,High
8,Rajajinagar,2024-08,17,35.8,1.04,100,30,43.4,Low
8,Rajajinagar,2024-09,57,91.3,3.28,51.2,52.9,24.4,Medium
8,Rajajinagar,2024-10,76,102.8,3.92,47.6,87.8,45.7,High
8,Rajajinagar,2024-11,81,115.4,4.19,40,78.3,30,High
8,Rajajinagar,2024-12,66,94.8,3.5,56.5,83.4,47,Medium
9,Indiranagar,2022-01,70,100.9,4.15,40,69.8,14.8,High
9,Indiranagar,2022-02,40,71.8,1.77,61.1,46.9,12.3,Medium
9,Indiranagar,2022-03,89,125.3,4.81,40,87.2,44.2,High
9,Indiranagar,2022-04,67,98.7,3.87,40.9,63.1,18,Medium
9,Indiranagar,2022-05,61,91.5,3.94,44,63.8,13.7,Medium
9,Indiranagar,2022-06,94,133.7,5.22,40,91.6,25,High
9,Indiranagar,2022-07,62,94,2.68,56.9,53.2,42.1,Medium
9,Indiranagar,2022-08,84,125,4.31,40,90.1,33.8,High
9,Indiranagar,2022-09,59,91.1,3.52,64.6,59.4,42.5,Medium
9,Indiranagar,2022-10,68,99.4,3.46,40,59.4,25.8,Medium
9,Indiranagar,2022-11,58,86.9,3.11,52,52,17.7,Medium
9,Indiranagar,2022-12,79,119.7,4.96,40,82,13.9,High
9,Indiranagar,2023-01,53,85.6,1.87,48.4,67.9,13.5,Medium
9,Indiranagar,2023-02,48,71.2,2.74,64.9,50.7,32.1,Medium
9,Indiranagar,2023-03,62,99.6,2.5,61.2,37.6,41.6,Medium
9,Indiranagar,2023-04,100,136.6,4.77,40,92.2,26.7,High
9,Indiranagar,2023-05,100,144.8,5.13,40,104.3,32.1,High
9,Indiranagar,2023-06,73,106.4,2.87,47.7,73.7,42.6,High
9,Indiranagar,2023-07,45,71.5,2.24,70,44.2,29,Medium
9,Indiranagar,2023-08,73,105,3.62,43.1,78.5,34.8,High
9,Indiranagar,2023-09,48,79.2,1.72,61.6,49.5,16.4,Medium
9,Indiranagar,2023-10,73,107,4,42.7,71.8,40.3,High
9,Indiranagar,2023-11,65,97,3.09,40,61.7,24.3,Medium
9,Indiranagar,2023-12,76,109,3.85,40,71.2,24.6,High
9,Indiranagar,2024-01,96,134.6,5,40,91.2,20.6,High
9,Indiranagar,2024-02,66,99,3.12,56.5,61.5,41.4,Medium
9,Indiranagar,2024-03,100,139.6,5.37,40,91.9,42.9,High
9,Indiranagar,2024-04,65,95.7,4.07,52.5,61.2,42.3,Medium
9,Indiranagar,2024-05,83,123.6,4.47,40,70.6,32.3,High
9,Indiranagar,2024-06,77,104.1,3.38,40,83.4,34.6,High
9,Indiranagar,2024-07,48,72.4,2.44,52.4,41.5,9,Medium
9,Indiranagar,2024-08,58,92.6,2.6,66.3,66,51.9,Medium
9,Indiranagar,2024-09,47,74.1,2.74,68.7,47.8,35.8,Medium
9,Indiranagar,2024-10,78,117,4.57,44.9,78.9,49.6,High
9,Indiranagar,2024-11,77,117.1,4.06,43,76.8,42.6,High
9,Indiranagar,2024-12,73,105.9,3.62,40,84,13.8,High
10,Electronic City,2022-01,67,102.5,3.44,56.2,68.2,52,Medium
10,Electronic City,2022-02,58,85.1,3.3,50.6,56.1,26.6,Medium
10,Electronic City,2022-03,77,111.6,3.14,40,75.3,14.1,High
10,Electronic City,2022-04,100,132.7,5.04,40,91.3,31.3,High
10,Electronic City,2022-05,100,143.4,4.74,40,95.9,49.9,High
10,Electronic City,2022-06,38,67.7,2.2,80.6,34.5,40.9,Low
10,Electronic City,2022-07,79,114.1,3.92,40,78.8,17.5,High
10,Electronic City,2022-08,65,98.7,3.37,49.6,63.3,32.1,Medium
10,Electronic City,2022-09,61,93.8,2.77,43.3,48.2,15.1,Medium
10,Electronic City,2022-10,46,72,2.47,71.9,41.3,41.9,Medium
10,Electronic City,2022-11,51,79,3,56.9,49.7,24.6,Medium
10,Electronic City,2022-12,43,71.7,1.74,79.5,52.2,47.6,Medium
10,Electronic City,2023-01,61,98.1,2.4,61.1,64.8,43.3,Medium
10,Electronic City,2023-02,67,96.5,3.88,40,54.1,6.6,Medium
10,Electronic City,2023-03,98,135.2,4.93,40,98.7,39.3,High
10,Electronic City,2023-04,81,115.9,4.02,40,79.6,24.4,High
10,Electronic City,2023-05,100,142.5,5.25,40,96.7,13.3,High
10,Electronic City,2023-06,80,117.2,4.69,40,77.7,27.1,High
10,Electronic City,2023-07,70,105,3.48,48.2,72.1,39.3,High
10,Electronic City,2023-08,81,117,5.16,40,75,27.7,High
10,Electronic City,2023-09,80,116.8,3.55,40,71.2,32.4,High
10,Electronic City,2023-10,61,96.9,3.49,62.2,58.3,44.2,Medium
10,Electronic City,2023-11,48,77.7,2.9,65.9,46.1,33.2,Medium
10,Electronic City,2023-12,43,74.8,1.8,65.6,53.6,22.8,Medium
10,Electronic City,2024-01,43,68.7,1.23,70.9,43.7,29.4,Medium
10,Electronic City,2024-02,76,110.7,4.61,45.1,78.1,44.3,High
10,Electronic City,2024-03,65,95,3.56,50.7,55.9,38.6,Medium
10,Electronic City,2024-04,75,110.9,4.1,40,73.6,13.1,High
10,Electronic City,2024-05,80,114,3.51,40,94.9,11.8,High
10,Electronic City,2024-06,65,103.6,3.35,48.9,58.5,32,Medium
10,Electronic City,2024-07,32,60.2,1.24,83.7,30,34.6,Low
10,Electronic City,2024-08,82,121.8,4.24,40,78.9,14.5,High
10,Electronic City,2024-09,90,130.5,5.39,40,101,14.8,High
10,Electronic City,2024-10,92,129.1,3.97,40,90,39.6,High
10,Electronic City,2024-11,82,112,3.87,40,81,24.6,High
10,Electronic City,2024-12,59,89.9,2.36,52.8,60.6,30,Medium
11,Banashankari,2022-01,74,105.9,3.99,40,78,19.4,High
11,Banashankari,2022-02,65,97.5,2.19,57.1,65.9,46.3,Medium
11,Banashankari,2022-03,59,92.1,2.58,56.7,58.5,34.5,Medium
11,Banashankari,2022-04,99,139.8,5.12,40,99.7,15.5,High
11,Banashankari,2022-05,66,100,3.45,52.2,64.3,39.9,Medium
11,Banashankari,2022-06,56,87.2,2.83,46.5,57.2,12.3,Medium
11,Banashankari,2022-07,74,107.9,3.55,40.6,70.3,35.2,High
11,Banashankari,2022-08,97,141.2,4.9,40,98.5,8.9,High
11,Banashankari,2022-09,74,107.7,3.31,40,73.2,17.1,High
11,Banashankari,2022-10,67,98.3,2.8,40,78.1,10.8,Medium
11,Banashankari,2022-11,100,137.5,5.44,40,106.9,7.5,High
11,Banashankari,2022-12,76,110.7,4.03,40,76.1,23.1,High
11,Banashankari,2023-01,46,71,2.97,70.1,44.8,37.4,Medium
11,Banashankari,2023-02,43,76.9,2.22,68.4,42.2,25.5,Medium
