ward_id,ward_name,month,traffic_congestion_index,avg_speed_kmph,peak_delay_min,vehicle_density_per_km,accident_rate_per_10k,public_transport_score,stress_level
2,Yelahanka,2023-04,75,24.6,55,372,2.92,73.6,High
2,Yelahanka,2023-05,45,39.1,36,50,1.07,88.4,Medium
2,Yelahanka,2023-06,100,9.7,77,371,3.41,42.3,High
2,Yelahanka,2023-07,47,38.7,39,50,2.68,81.5,Medium
2,Yelahanka,2023-08,96,14.6,71,369,3.91,49,High
2,Yelahanka,2023-09,59,29.8,50,121,2.94,82.9,Medium
2,Yelahanka,2023-10,61,26.7,43,234,2.69,81.7,Medium
2,Yelahanka,2023-11,76,22.5,58,397,3.16,70.1,High
2,Yelahanka,2023-12,76,23.3,60,346,2.45,66.7,High
2,Yelahanka,2024-01,39,33.4,42,50,0.86,81.2,Low
2,Yelahanka,2024-02,84,20.4,76,363,3.22,63.3,High
2,Yelahanka,2024-03,54,28.9,37,164,2.29,77.3,Medium
2,Yelahanka,2024-04,76,22.2,55,335,2.5,63.3,High
2,Yelahanka,2024-05,68,23.7,50,249,3.37,62.1,Medium
2,Yelahanka,2024-06,58,25.3,45,91,2.24,74.6,Medium
2,Yelahanka,2024-07,79,15.9,60,298,2.95,60.9,High
2,Yelahanka,2024-08,56,31.8,45,160,2.54,84.4,Medium
2,Yelahanka,2024-09,90,13.6,68,400,2.98,64.6,High
2,Yelahanka,2024-10,58,29.2,42,144,2.5,65.8,Medium
2,Yelahanka,2024-11,75,16.9,56,343,3.28,68.7,High
2,Yelahanka,2024-12,98,12.6,74,504,4.96,41.2,High
3,Jayanagar,2022-01,68,27,54,340,2.75,76.3,Medium
3,Jayanagar,2022-02,77,20.7,50,488,2.78,70.4,High
3,Jayanagar,2022-03,57,23.3,46,89,2.05,67.2,Medium
3,Jayanagar,2022-04,34,40.5,26,109,0.8,90.5,Low
3,Jayanagar,2022-05,77,19.9,57,274,2.85,61.5,High
3,Jayanagar,2022-06,87,15.2,69,250,3.36,52.1,High
3,Jayanagar,2022-07,76,17.8,57,200,2.73,72.7,High
3,Jayanagar,2022-08,58,29.8,50,235,2.56,84.3,Medium
3,Jayanagar,2022-09,100,8,78,434,4.28,48.3,High
3,Jayanagar,2022-10,57,30.4,46,209,1.9,82.1,Medium
3,Jayanagar,2022-11,41,37.5,38,118,1.89,87.4,Medium
3,Jayanagar,2022-12,58,28.7,45,183,1.89,65.5,Medium
3,Jayanagar,2023-01,92,8.5,62,431,4.12,47.4,High
3,Jayanagar,2023-02,49,35.7,41,108,1.5,80.9,Medium
3,Jayanagar,2023-03,61,26.4,56,250,2.21,78.8,Medium
3,Jayanagar,2023-04,78,19.8,60,226,3.19,54.9,High
3,Jayanagar,2023-05,32,40.5,31,85,1.46,100,Low
3,Jayanagar,2023-06,98,9.2,73,354,3.96,50.6,High
3,Jayanagar,2023-07,60,31.1,52,138,2.33,70,Medium
3,Jayanagar,2023-08,89,21.7,69,293,3.83,58.6,High
3,Jayanagar,2023-09,76,22,59,161,2.99,57.5,High
3,Jayanagar,2023-10,61,25,42,320,2.01,78.3,Medium
3,Jayanagar,2023-11,73,21.1,50,280,1.93,58.2,High
3,Jayanagar,2023-12,51,30.9,41,82,2.42,77.1,Medium
3,Jayanagar,2024-01,33,41.5,23,50,1.51,91.3,Low
3,Jayanagar,2024-02,95,11.7,68,484,3.27,45.6,High
3,Jayanagar,2024-03,67,26,52,223,2.57,65.2,Medium
3,Jayanagar,2024-04,58,28,48,125,3.03,65.2,Medium
3,Jayanagar,2024-05,65,26.3,50,389,2.25,80.1,Medium
3,Jayanagar,2024-06,83,18,57,213,3.46,57.1,High
3,Jayanagar,2024-07,84,17.6,68,352,3.3,59.6,High
3,Jayanagar,2024-08,56,34.2,45,112,2.06,81.3,Medium
3,Jayanagar,2024-09,75,24.7,60,152,2.61,57.9,High
3,Jayanagar,2024-10,69,26.6,54,300,3.16,70.9,Medium
3,Jayanagar,2024-11,38,34.6,30,50,1.44,95.5,Low
3,Jayanagar,2024-12,49,38.5,32,194,2.36,87.5,Medium
4,Whitefield,2022-01,58,26.8,45,216,2.38,71.8,Medium
4,Whitefield,2022-02,61,23.3,37,109,2.18,64.3,Medium
4,Whitefield,2022-03,39,40.4,37,79,1.49,88,Low
4,Whitefield,2022-04,37,37.4,32,97,1.24,94.7,Low
4,Whitefield,2022-05,40,33.2,30,53,1.54,79.7,Medium
4,Whitefield,2022-06,88,17.1,65,288,2.75,54.6,High
4,Whitefield,2022-07,92,15.4,72,294,3.5,51.9,High
4,Whitefield,2022-08,88,18.5,71,217,3.31,48.1,High
4,Whitefield,2022-09,66,21.2,44,125,2.89,62.4,Medium
4,Whitefield,2022-10,95,9.4,72,278,3.61,44.4,High
4,Whitefield,2022-11,74,21.3,56,259,2.64,57.9,High
4,Whitefield,2022-12,80,16.9,61,374,3.4,66,High
4,Whitefield,2023-01,55,28.2,44,270,2.28,77.9,Medium
4,Whitefield,2023-02,64,24.2,54,237,2.56,64.5,Medium
4,Whitefield,2023-03,84,16.9,64,348,3.06,67,High
4,Whitefield,2023-04,40,34.4,30,92,0.74,85.4,Medium
4,Whitefield,2023-05,43,31.5,32,89,1.49,80.5,Medium
4,Whitefield,2023-06,76,26.1,62,241,3.01,58.7,High
4,Whitefield,2023-07,68,24.8,59,141,2.91,75.2,Medium
4,Whitefield,2023-08,70,27.6,59,166,2.93,64.9,High
4,Whitefield,2023-09,76,16.2,57,178,2.54,57.8,High
4,Whitefield,2023-10,57,27.9,49,146,2.13,82.1,Medium
4,Whitefield,2023-11,58,30.9,50,230,2.43,72.1,Medium
4,Whitefield,2023-12,79,19,68,216,2.5,52.6,High
4,Whitefield,2024-01,57,29.6,48,126,2.29,67.2,Medium
4,Whitefield,2024-02,69,21.2,52,316,2.4,72,Medium
4,Whitefield,2024-03,44,38.8,40,148,2.13,91,Medium
4,Whitefield,2024-04,76,20,54,382,3.31,60.1,High
4,Whitefield,2024-05,88,18.9,68,353,4.3,48.9,High
4,Whitefield,2024-06,81,19.9,57,189,2.96,64.5,High
4,Whitefield,2024-07,87,14.8,70,199,2.7,53.5,High
4,Whitefield,2024-08,57,30.3,45,50,2.14,71.5,Medium
4,Whitefield,2024-09,100,8,77,388,4.43,43.1,High
4,Whitefield,2024-10,38,40.9,25,94,2.06,83.2,Low
4,Whitefield,2024-11,81,23.3,61,241,3.14,52.8,High
4,Whitefield,2024-12,74,23,49,289,2.85,61.3,High
5,KR Puram,2022-01,64,26.3,58,284,2.02,76.2,Medium
5,KR Puram,2022-02,65,28.1,53,279,2.81,67.9,Medium
5,KR Puram,2022-03,75,16.8,61,307,3.56,75,High
5,KR Puram,2022-04,76,23.2,65,262,2.26,67.8,High
5,KR Puram,2022-05,55,28,48,271,2.19,83.9,Medium
5,KR Puram,2022-06,76,24.8,63,193,2.32,56.7,High
5,KR Puram,2022-07,88,14.2,69,238,3.31,48.6,High
5,KR Puram,2022-08,100,8,85,481,3.83,41.7,High
5,KR Puram,2022-09,65,30.5,54,151,2.38,65,Medium
5,KR Puram,2022-10,68,23.1,55,271,3.67,67.2,Medium
5,KR Puram,2022-11,41,35.2,35,78,2.62,92,Medium
5,KR Puram,2022-12,66,25.5,52,225,3.06,69,Medium
5,KR Puram,2023-01,83,18.6,64,412,2.69,60.2,High
5,KR Puram,2023-02,75,19,62,356,2.98,68.1,High
5,KR Puram,2023-03,64,27.3,48,225,2.45,75.9,Medium
5,KR Puram,2023-04,83,16.7,65,209,3.34,53.1,High
5,KR Puram,2023-05,62,33.8,44,212,3.19,74.2,Medium
5,KR Puram,2023-06,89,17.9,71,251,3.4,61.7,High
5,KR Puram,2023-07,59,33.5,42,50,2.39,65.2,Medium
5,KR Puram,2023-08,98,14.1,73,338,3.52,49.2,High
5,KR Puram,2023-09,55,25.7,45,50,2.67,72.7,Medium
5,KR Puram,2023-10,64,24,50,206,2.45,66.7,Medium
5,KR Puram,2023-11,79,25.8,62,357,2.54,65.2,High
5,KR Puram,2023-12,71,22.2,45,189,2.69,59.4,High
5,KR Puram,2024-01,70,22.4,54,178,3.08,61.7,High
5,KR Puram,2024-02,74,21.4,57,444,3.27,73.9,High
5,KR Puram,2024-03,89,10.9,73,433,3.59,48.3,High
5,KR Puram,2024-04,52,29.1,43,270,2.07,85.7,Medium
5,KR Puram,2024-05,38,38.5,26,50,1.44,85.5,Low
5,KR Puram,2024-06,77,20,52,246,2.11,69.5,High
5,KR Puram,2024-07,96,11.2,72,366,3.8,51.8,High
5,KR Puram,2024-08,86,14.5,63,343,3.07,62.4,High
5,KR Puram,2024-09,69,22.8,62,99,2.88,58.6,Medium
5,KR Puram,2024-10,61,26.7,45,181,2.84,77.7,Medium
5,KR Puram,2024-11,60,24.9,50,179,2.97,69.7,Medium
5,KR Puram,2024-12,71,22,55,211,2.74,58.8,High
6,BTM Layout,2022-01,54,32,47,235,1.77,87,Medium
6,BTM Layout,2022-02,82,15.4,64,285,3.83,51.9,High
6,BTM Layout,2022-03,60,28.3,46,216,1.91,71.4,Medium
6,BTM Layout,2022-04,62,21.7,53,237,3,73.1,Medium
6,BTM Layout,2022-05,71,23.9,55,349,2.87,74.5,High
6,BTM Layout,2022-06,91,13.4,68,293,2.94,48.8,High
6,BTM Layout,2022-07,81,21.3,63,164,2.26,54.5,High
6,BTM Layout,2022-08,64,28.8,48,146,2.48,63.3,Medium
6,BTM Layout,2022-09,94,21.4,78,402,3.95,61.6,High
6,BTM Layout,2022-10,67,24.5,51,235,3.84,67.5,Medium
6,BTM Layout,2022-11,64,33.6,50,208,3.11,65.3,Medium
6,BTM Layout,2022-12,44,35,42,166,1.88,89,Medium
6,BTM Layout,2023-01,84,14.7,58,444,3.35,55.6,High
6,BTM Layout,2023-02,78,25.3,51,347,3.18,54.3,High
6,BTM Layout,2023-03,30,41,19,177,1.56,100,Low
6,BTM Layout,2023-04,68,24.6,53,222,3.31,76.1,Medium
6,BTM Layout,2023-05,55,32,41,138,2.57,72.4,Medium
6,BTM Layout,2023-06,93,18.2,71,295,2.86,51.1,High
6,BTM Layout,2023-07,92,10.1,68,347,3.12,49.9,High
6,BTM Layout,2023-08,72,25.3,57,156,3.08,60.5,High
6,BTM Layout,2023-09,69,26.6,56,188,2.85,74.3,Medium
6,BTM Layout,2023-10,57,30.2,40,277,2.45,80.4,Medium
6,BTM Layout,2023-11,71,22.1,62,310,2.97,65.7,High
6,BTM Layout,2023-12,63,23.5,55,258,2.26,65.6,Medium
6,BTM Layout,2024-01,61,30.6,46,230,2.18,80,Medium
6,BTM Layout,2024-02,99,10.7,82,456,3.41,40.9,High
6,BTM Layout,2024-03,76,20.6,61,244,3.47,61.5,High
6,BTM Layout,2024-04,72,20.2,56,297,3.43,57.4,High
6,BTM Layout,2024-05,82,16.2,62,394,3.4,65.1,High
6,BTM Layout,2024-06,48,32,32,50,1.35,73.2,Medium
6,BTM Layout,2024-07,100,14.6,78,431,3.94,50.9,High
6,BTM Layout,2024-08,87,14.9,71,217,3.39,50.1,High
6,BTM Layout,2024-09,77,24.8,66,264,4.03,68.7,High
6,BTM Layout,2024-10,75,22.5,57,309,3.14,63.3,High
6,BTM Layout,2024-11,63,34.7,47,169,2.47,72.2,Medium
6,BTM Layout,2024-12,61,25.4,40,180,2.41,66.3,Medium
7,Hebbal,2022-01,54,31.1,37,199,1.8,79.3,Medium
7,Hebbal,2022-02,73,19.2,55,274,2.52,66.8,High
7,Hebbal,2022-03,68,24.2,48,399,2.56,64.6,Medium
7,Hebbal,2022-04,92,15.3,65,439,3.45,47.9,High
7,Hebbal,2022-05,91,18.1,73,360,3.7,48.3,High
7,Hebbal,2022-06,93,11.9,70,302,4.6,49.1,High
7,Hebbal,2022-07,76,22.9,59,177,3.26,72.1,High
7,Hebbal,2022-08,88,16.2,68,354,3.06,65.2,High
7,Hebbal,2022-09,85,20.5,62,280,2.52,51.6,High
7,Hebbal,2022-10,48,34.2,41,224,1.8,83.2,Medium
7,Hebbal,2022-11,53,36.8,45,175,2.02,72.8,Medium
7,Hebbal,2022-12,67,25.4,54,237,3,67.2,Medium
7,Hebbal,2023-01,82,18.1,64,395,3.12,61.4,High
7,Hebbal,2023-02,50,29.1,37,210,1.78,88.3,Medium
7,Hebbal,2023-03,55,32.1,40,240,2.65,77.9,Medium
7,Hebbal,2023-04,76,22.6,58,369,3.13,69,High
7,Hebbal,2023-05,63,24.1,45,330,1.57,79.3,Medium
7,Hebbal,2023-06,72,23.5,53,50,3.5,59.7,High
7,Hebbal,2023-07,100,8.3,65,438,3.7,41.1,High
7,Hebbal,2023-08,100,8,73,386,4.21,51.1,High
7,Hebbal,2023-09,95,11.8,69,354,3.36,44.7,High
7,Hebbal,2023-10,52,32.8,45,210,1.9,83.4,Medium
7,Hebbal,2023-11,66,25.4,48,215,3.25,64.1,Medium
7,Hebbal,2023-12,82,21.6,56,326,3.56,51.1,High
7,Hebbal,2024-01,88,10.2,66,441,3.4,56.1,High
7,Hebbal,2024-02,57,32.2,48,62,2.57,70.9,Medium
7,Hebbal,2024-03,63,22,49,300,2.79,71.3,Medium
7,Hebbal,2024-04,77,21.3,56,216,3.22,56.7,High
7,Hebbal,2024-05,74,25.2,59,387,2.28,71.6,High
7,Hebbal,2024-06,86,16.8,69,302,3.96,63.5,High
7,Hebbal,2024-07,61,31.1,53,104,3.28,74,Medium
7,Hebbal,2024-08,100,14.4,77,441,3.31,51.1,High
7,Hebbal,2024-09,84,16.3,58,230,2.72,57.9,High
7,Hebbal,2024-10,92,13.7,66,423,3.21,46.2,High
7,Hebbal,2024-11,55,30,36,319,2.57,87,Medium
7,Hebbal,2024-12,56,29.5,44,168,2.63,73.5,Medium
8,Rajajinagar,2022-01,64,23.9,51,319,2.39,70.7,Medium
8,Rajajinagar,2022-02,60,30.8,50,189,2.43,66.3,Medium
8,Rajajinagar,2022-03,70,19.6,50,386,2.97,75.4,High
8,Rajajinagar,2022-04,71,29.4,49,285,3.06,68,High
8,Rajajinagar,2022-05,73,20.3,53,297,2.6,65.1,High
8,Rajajinagar,2022-06,76,22.3,61,131,2.65,57.3,High
8,Rajajinagar,2022-07,61,25.5,44,50,2.04,66.8,Medium
8,Rajajinagar,2022-08,69,29.4,60,163,3.15,68.6,Medium
8,Rajajinagar,2022-09,70,23.4,53,195,2.16,64.6,High
8,Rajajinagar,2022-10,88,18.8,71,428,3.51,63.8,High
8,Rajajinagar,2022-11,72,19.3,51,251,3.12,68.2,High
8,Rajajinagar,2022-12,73,23.2,58,296,2.88,69.6,High
8,Rajajinagar,2023-01,100,13,74,464,3.88,42,High
8,Rajajinagar,2023-02,26,43.4,28,53,0.92,100,Low
8,Rajajinagar,2023-03,79,20.5,55,390,3.06,63.5,High
8,Rajajinagar,2023-04,73,17.2,51,332,2.64,60.5,High
8,Rajajinagar,2023-05,93,10.6,70,410,3.98,44.5,High
8,Rajajinagar,2023-06,86,19,68,264,3.26,61.8,High
8,Rajajinagar,2023-07,66,22.8,47,232,3.07,76.7,Medium
8,Rajajinagar,2023-08,63,25.7,47,99,1.86,70.2,Medium
8,Rajajinagar,2023-09,86,15.4,60,267,3.34,53.8,High
8,Rajajinagar,2023-10,79,17.4,61,346,2.85,63.2,High
8,Rajajinagar,2023-11,37,43.3,30,131,1.38,95.2,Low
8,Rajajinagar,2023-12,83,17.9,66,326,3.05,54.5,High
8,Rajajinagar,2024-01,51,29,48,171,2.63,78,Medium
8,Rajajinagar,2024-02,59,26.8,48,235,2.42,75.2,Medium
8,Rajajinagar,2024-03,83,18.2,58,272,2.78,50.2,High
8,Rajajinagar,2024-04,49,28.9,36,83,2.28,80.6,Medium
8,Rajajinagar,2024-05,74,18.3,58,327,3.42,58.5,High
8,Rajajinagar,2024-06,81,20.7,63,178,3.21,58.3,High
8,Rajajinagar,2024-07,100,9.9,76,490,4.34,42,High
8,Rajajinagar,2024-08,37,32.8,28,50,1.25,95.8,Low
8,Rajajinagar,2024-09,72,20.8,60,159,3.31,63.4,High
8,Rajajinagar,2024-10,66,25.5,48,301,2.36,79.3,Medium
8,Rajajinagar,2024-11,63,26.8,53,261,2.98,73.9,Medium
8,Rajajinagar,2024-12,67,28.6,57,278,1.99,77.8,Medium
9,Indiranagar,2022-01,74,26.9,59,299,3,58.7,High
9,Indiranagar,2022-02,46,35.6,38,50,2.54,73.3,Medium
9,Indiranagar,2022-03,65,27.9,52,317,2.48,77.9,Medium
9,Indiranagar,2022-04,45,30.6,33,94,1.87,79.3,Medium
9,Indiranagar,2022-05,52,30.9,44,124,2.62,72.8,Medium
9,Indiranagar,2022-06,100,8.2,76,401,3.64,45.1,High
9,Indiranagar,2022-07,65,22.7,48,216,3.29,76.1,Medium
9,Indiranagar,2022-08,100,11.6,75,439,3.65,52,High
9,Indiranagar,2022-09,70,26.9,52,287,3.51,76.9,High
9,Indiranagar,2022-10,64,26,50,215,2.23,65.3,Medium
9,Indiranagar,2022-11,50,37.7,44,199,2.19,78,Medium
9,Indiranagar,2022-12,74,24,59,308,2.32,57,High
9,Indiranagar,2023-01,53,26.9,38,161,1.84,69.3,Medium
9,Indiranagar,2023-02,46,38.8,34,97,1.66,82.7,Medium
9,Indiranagar,2023-03,40,35.7,38,69,1.12,94.6,Medium
9,Indiranagar,2023-04,68,23.8,54,323,3.01,69.8,Medium
9,Indiranagar,2023-05,78,21.6,60,331,3.1,63.5,High
9,Indiranagar,2023-06,84,16.6,61,285,3.71,66.2,High
9,Indiranagar,2023-07,63,29.3,41,143,2.22,74.2,Medium
9,Indiranagar,2023-08,87,12.5,59,344,3.25,60.7,High
9,Indiranagar,2023-09,61,35.2,45,129,2.56,71.1,Medium
9,Indiranagar,2023-10,71,19.3,59,386,3.02,70,High
9,Indiranagar,2023-11,67,28.5,48,358,2.17,63.5,Medium
9,Indiranagar,2023-12,82,20.4,62,350,2.89,57.9,High
9,Indiranagar,2024-01,85,20,63,382,3.27,53.6,High
9,Indiranagar,2024-02,77,17.6,64,307,2.36,71.8,High
9,Indiranagar,2024-03,82,16,61,386,4.02,64.5,High
9,Indiranagar,2024-04,42,38.2,37,108,1.96,88.8,Medium
9,Indiranagar,2024-05,59,27.6,47,222,2.58,75.5,Medium
9,Indiranagar,2024-06,100,11.1,77,356,3.94,52,High
9,Indiranagar,2024-07,61,25.9,54,50,2.49,63.7,Medium
9,Indiranagar,2024-08,87,11.9,65,322,3.06,67.2,High
9,Indiranagar,2024-09,73,24.1,59,160,2.86,68.8,High
9,Indiranagar,2024-10,76,23.2,62,370,2.88,72.7,High
9,Indiranagar,2024-11,74,25.9,57,297,3.02,71.6,High
9,Indiranagar,2024-12,80,17.7,56,292,3.28,54.6,High
10,Electronic City,2022-01,69,20.3,58,306,2.7,77.2,Medium
10,Electronic City,2022-02,64,19.7,51,209,2.05,68.5,Medium
10,Electronic City,2022-03,67,32.3,58,158,2.28,61.2,Medium
10,Electronic City,2022-04,90,17.2,73,430,3.64,56.9,High
10,Electronic City,2022-05,67,25.6,54,356,2.1,79.8,Medium
10,Electronic City,2022-06,57,30,39,116,1.96,80.7,Medium
10,Electronic City,2022-07,96,14,68,351,3.82,48.4,High
10,Electronic City,2022-08,87,15.2,72,294,3.38,59.5,High
10,Electronic City,2022-09,78,23.4,66,123,3.18,56.6,High
10,Electronic City,2022-10,41,37.4,31,124,1.8,89.7,Medium
10,Electronic City,2022-11,55,33.5,48,158,2.63,73.3,Medium
10,Electronic City,2022-12,41,32.7,35,193,2.45,93.4,Medium
10,Electronic City,2023-01,58,28.8,42,262,2.67,82.9,Medium
10,Electronic City,2023-02,70,22,56,201,3.05,58,High
10,Electronic City,2023-03,85,22.2,58,349,3.38,61,High
10,Electronic City,2023-04,65,25.1,53,196,2.87,69.9,Medium
10,Electronic City,2023-05,95,12,68,379,3.29,43.9,High
10,Electronic City,2023-06,95,10.9,76,322,3.29,47.6,High
10,Electronic City,2023-07,86,20.1,67,334,3.23,63,High
10,Electronic City,2023-08,96,14.1,77,387,3.71,50.7,High
10,Electronic City,2023-09,100,8,80,422,3.71,48.9,High
10,Electronic City,2023-10,57,28.2,44,218,2.31,84.4,Medium
10,Electronic City,2023-11,41,43.8,30,181,1.83,86.5,Medium
10,Electronic City,2023-12,37,38.6,31,82,1.1,84.7,Low
10,Electronic City,2024-01,40,40.7,36,91,1.67,87.1,Medium
10,Electronic City,2024-02,76,19.1,61,365,2.67,71.3,High
10,Electronic City,2024-03,50,37.7,39,139,2.09,82.6,Medium
10,Electronic City,2024-04,60,32.8,50,115,1.99,67.4,Medium
10,Electronic City,2024-05,63,27.8,54,123,2.04,63.6,Medium
10,Electronic City,2024-06,74,27,56,270,3.21,66.7,High
10,Electronic City,2024-07,48,30.9,45,50,2.34,83.8,Medium
10,Electronic City,2024-08,89,15,66,362,3.1,48.3,High
10,Electronic City,2024-09,100,14.8,74,444,4.22,43.1,High
10,Electronic City,2024-10,88,15.4,64,464,3.53,62.6,High
10,Electronic City,2024-11,73,19,53,376,2.74,63.6,High
10,Electronic City,2024-12,59,28.7,51,219,2.71,74,Medium
11,Banashankari,2022-01,70,23.3,52,234,3.53,64,High
11,Banashankari,2022-02,66,23.9,55,232,2.91,78.1,Medium
11,Banashankari,2022-03,46,37.3,33,82,1.33,85,Medium
11,Banashankari,2022-04,84,16.6,64,326,3.21,53.9,High
11,Banashankari,2022-05,50,35.4,43,127,2.48,84.6,Medium
11,Banashankari,2022-06,82,20.4,65,227,2.53,52.8,High
11,Banashankari,2022-07,81,18.9,62,284,2.84,63.1,High
11,Banashankari,2022-08,100,11.4,73,429,4.06,40.3,High
11,Banashankari,2022-09,96,12.2,66,336,4.31,46.1,High
11,Banashankari,2022-10,81,18,60,269,3.4,54.5,High
11,Banashankari,2022-11,89,17.8,75,434,3.2,47.5,High
11,Banashankari,2022-12,84,16.4,63,268,2.85,55.6,High
11,Banashankari,2023-01,44,35.1,30,163,2.13,86.5,Medium
11,Banashankari,2023-02,34,40.9,26,152,1.19,88.7,Low
11,Banashankari,2023-03,75,18.5,60,346,2.87,69.6,High
11,Banashankari,2023-04,42,37.6,30,102,1.96,85.7,Medium
11,Banashankari,2023-05,36,33.8,28,50,1.5,93,Low
11,Banashankari,2023-06,100,10.7,68,311,3.81,41.1,High
11,Banashankari,2023-07,64,24.8,49,150,2.33,76.7,Medium
11,Banashankari,2023-08,63,23,53,142,2.57,72.8,Medium
11,Banashankari,2023-09,92,12.8,73,377,3.2,56.5,High
11,Banashankari,2023-10,69,17.2,53,244,2.25,61.5,Medium
11,Banashankari,2023-11,82,16.2,60,357,3.4,64.2,High
11,Banashankari,2023-12,50,31.9,47,142,1.53,70.9,Medium
11,Banashankari,2024-01,59,25.7,40,385,3.07,79.7,Medium
11,Banashankari,2024-02,94,15.5,71,428,4.1,50.7,High
11,Banashankari,2024-03,73,19.7,57,236,2.21,65.3,High
11,Banashankari,2024-04,55,31.8,48,315,2.64,85.6,Medium
11,Banashankari,2024-05,60,24.3,50,272,2.64,82.3,Medium
11,Banashankari,2024-06,48,31,36,120,2.3,90.9,Medium
11,Banashankari,2024-07,89,14.3,66,168,3.48,48.6,High
11,Banashankari,2024-08,81,18.9,58,301,3.17,59.1,High
11,Banashankari,2024-09,87,15.6,69,351,3.4,54.9,High
11,Banashankari,2024-10,65,28,45,162,2.56,61.3,Medium
11,Banashankari,2024-11,56,37,47,296,2.31,84.1,Medium
11,Banashankari,2024-12,75,21.2,54,322,2.92,59,High
12,Malleshwaram,2022-01,63,20.8,50,226,3.23,62.8,Medium
12,Malleshwaram,2022-02,63,30.1,55,161,2.64,68.8,Medium
12,Malleshwaram,2022-03,58,23.1,41,191,1.79,74.9,Medium
12,Malleshwaram,2022-04,44,33.3,40,58,1.63,74.7,Medium
12,Malleshwaram,2022-05,50,30.9,46,259,2.45,86.3,Medium
12,Malleshwaram,2022-06,75,20.4,65,270,3.96,66.1,High
12,Malleshwaram,2022-07,84,20.3,61,301,3.32,66.5,High
12,Malleshwaram,2022-08,61,28.2,46,230,2.05,80.8,Medium
